T_f ; Mprom ; M^2prom ; Eprom ; E^2prom ; Chi ; C 
4;0,276452;0,089563;-1,054622;1,117942;0,013137;0,000357
4,2;0,250473;0,073868;-1,033976;1,074021;0,011131;0,000279
4,4;0,240152;0,072306;-1,034337;1,075187;0,014633;0,000276
4,6;0,292069;0,095959;-1,060741;1,130531;0,010654;0,000253
4,8;0,277593;0,089508;-1,053559;1,115843;0,01245;0,000254
5;0,286712;0,091625;-1,05452;1,116819;0,009421;0,000192
5,2;0,267243;0,084607;-1,045435;1,098637;0,013188;0,000211
5,4;0,265578;0,085695;-1,048384;1,105076;0,015163;0,000205
5,6;0,254288;0,077773;-1,037796;1,08241;0,013111;0,000172
5,8;0,267221;0,085585;-1,049395;1,107514;0,014178;0,000187
6;0,286178;0,089823;-1,054443;1,116533;0,007925;0,00013
